# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
4 241 1 -2800.00000000 -1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 242 1 -2800.00000000 -400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 243 1 -2800.00000000 400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 244 1 -2800.00000000 1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 245 1 -2000.00000000 -2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 246 1 -2000.00000000 -1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 247 1 -2000.00000000 -400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 248 1 -2000.00000000 400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 249 1 -2000.00000000 1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 250 1 -2000.00000000 2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 251 1 -1200.00000000 -2800.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 252 1 -1200.00000000 -2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 253 1 -1200.00000000 -1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 254 1 -1200.00000000 -400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 255 1 -1200.00000000 400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 256 1 -1200.00000000 1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 257 1 -1200.00000000 2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 258 1 -1200.00000000 2800.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 259 1 -400.00000000 -2800.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 260 1 -400.00000000 -2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 261 1 -400.00000000 -1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 262 1 -400.00000000 -400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 263 1 -400.00000000 400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 264 1 -400.00000000 1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 265 1 -400.00000000 2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 266 1 -400.00000000 2800.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 267 1 400.00000000 -2800.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 268 1 400.00000000 -2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 269 1 400.00000000 -1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 270 1 400.00000000 -400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 271 1 400.00000000 400.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 272 1 400.00000000 1200.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
4 273 1 400.00000000 2000.00000000 4000.00000000 0.000000 0.000000 -1.00000000 0 1
